IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140357048,LARCENY/THEFT,PETTY THEFT BICYCLE,Wednesday,04/30/2014,09:18,MISSION,NONE,DIVISION ST / 9TH ST,-122.405942290896,37.7696597423213,"(37.7696597423213, -122.405942290896)"
140357060,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,04/30/2014,10:07,SOUTHERN,NONE,500 Block of MARKET ST,-122.400753489787,37.7897082639977,"(37.7897082639977, -122.400753489787)"
140358648,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,04/30/2014,17:15,BAYVIEW,NONE,0 Block of BAYVIEW ST,-122.392504363984,37.7324767411621,"(37.7324767411621, -122.392504363984)"
140357101,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,04/30/2014,10:23,MISSION,NONE,1000 Block of VALENCIA ST,-122.420915717956,37.7562290379125,"(37.7562290379125, -122.420915717956)"
140357117,ROBBERY,ROBBERY OF A RESIDENCE WITH BODILY FORCE,Wednesday,04/30/2014,10:25,NORTHERN,NONE,1400 Block of POST ST,-122.426336155037,37.7861216941166,"(37.7861216941166, -122.426336155037)"
140358444,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,04/30/2014,18:45,TENDERLOIN,NONE,GOLDEN GATE AV / LEAVENWORTH ST,-122.413869632554,37.7818621883021,"(37.7818621883021, -122.413869632554)"
140358466,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,04/30/2014,19:05,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758,"(37.7809039696758, -122.411979487494)"
140358466,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,04/30/2014,19:05,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758,"(37.7809039696758, -122.411979487494)"
140358466,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Wednesday,04/30/2014,19:05,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758,"(37.7809039696758, -122.411979487494)"
140358472,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,04/30/2014,18:50,CENTRAL,NONE,100 Block of PINE ST,-122.399741347774,37.7922284710337,"(37.7922284710337, -122.399741347774)"
140358488,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,16:50,SOUTHERN,NONE,800 Block of 4TH ST,-122.393707241082,37.7761145466208,"(37.7761145466208, -122.393707241082)"
140357139,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,04/30/2014,10:55,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.426893114012,37.7691618401946,"(37.7691618401946, -122.426893114012)"
140357139,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,04/30/2014,10:55,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.426893114012,37.7691618401946,"(37.7691618401946, -122.426893114012)"
140357139,WARRANTS,WARRANT ARREST,Wednesday,04/30/2014,10:55,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.426893114012,37.7691618401946,"(37.7691618401946, -122.426893114012)"
140357151,MISSING PERSON,MISSING ADULT,Wednesday,04/30/2014,10:45,TARAVAL,NONE,1900 Block of FUNSTON AV,-122.469478063618,37.7519271325653,"(37.7519271325653, -122.469478063618)"
140357173,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,11:00,INGLESIDE,PSYCHOPATHIC CASE,0 Block of MODOC AV,-122.448856546762,37.7147105092186,"(37.7147105092186, -122.448856546762)"
140357189,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,04/30/2014,11:15,SOUTHERN,NONE,1100 Block of MARKET ST,-122.41287959353,37.7802390921428,"(37.7802390921428, -122.41287959353)"
